team,opponent,attempted_field_goals,attempted_three_point_field_goals,attempted_free_throws,assists,steals,personal_fouls,avg_game_score,percent_fg_made,percent_3p_made,percent_ft_made,ORB,DRB,percent_shots_blocked,TOVR,team_win,opp_win
12,20,81,30,39,26,8,23,11.033333333333333,0.5185185185185185,0.43333333333333335,0.717948717948718,0.5,0.5573770491803278,0.01639344262295082,0.11711215210801874,1,0
12,6,82,26,25,22,10,24,8.2,0.4634146341463415,0.4230769230769231,0.88,0.5416666666666666,0.4666666666666667,0.030303030303030304,0.13768115942028986,1,0
12,24,84,34,33,20,4,20,7.74,0.40476190476190477,0.23529411764705882,0.8484848484848485,0.25,0.4533333333333333,0.031496062992125984,0.05693139766581269,0,1
12,9,76,24,34,17,6,15,4.95,0.40789473684210525,0.3333333333333333,0.6470588235294118,0.3333333333333333,0.4126984126984127,0.008928571428571428,0.1015942482025633,0,1
12,20,92,28,15,26,9,20,6.55,0.41304347826086957,0.2857142857142857,0.4666666666666667,0.5263157894736842,0.43661971830985913,0.02040816326530612,0.07320644216691069,0,1
12,26,79,15,21,21,6,24,5.454545454545454,0.46835443037974683,0.2,0.7142857142857143,0.3888888888888889,0.45614035087719296,0.027777777777777776,0.12686062246278756,0,1
12,9,85,22,35,24,13,24,7.472727272727273,0.4235294117647059,0.45454545454545453,0.6571428571428571,0.5161290322580645,0.4406779661016949,0.05982905982905983,0.12195121951219512,0,1
12,7,92,21,25,22,13,28,7.42,0.391304347826087,0.23809523809523808,0.92,0.45714285714285713,0.42857142857142855,0.0423728813559322,0.1079136690647482,0,1
12,25,81,19,36,31,6,26,8.458333333333334,0.5061728395061729,0.47368421052631576,0.7222222222222222,0.45454545454545453,0.559322033898305,0.08791208791208792,0.08672343109429202,1,0
12,17,97,29,27,24,14,23,9.73,0.4742268041237113,0.2413793103448276,0.7777777777777778,0.45714285714285713,0.453125,0.00847457627118644,0.08616118769883352,1,0
12,11,83,20,24,17,3,18,5.427272727272728,0.39759036144578314,0.25,0.875,0.4090909090909091,0.46153846153846156,0.0392156862745098,0.09557183816502071,0,1
12,6,91,27,29,26,7,20,9.733333333333333,0.42857142857142855,0.2222222222222222,0.7931034482758621,0.6,0.43283582089552236,0.036036036036036036,0.04387247733255338,0,1
12,13,83,19,26,28,12,17,9.799999999999999,0.5662650602409639,0.5263157894736842,0.6153846153846154,0.5,0.5945945945945946,0.042735042735042736,0.12360939431396786,1,0
12,25,68,25,45,22,5,26,7.12,0.4852941176470588,0.44,0.5777777777777777,0.3125,0.4927536231884058,0.047619047619047616,0.13097072419106318,1,0
12,24,110,20,12,24,11,22,8.889999999999999,0.44545454545454544,0.4,0.5,0.4444444444444444,0.4444444444444444,0.03787878787878788,0.035642999714856,0,1
12,8,72,21,37,27,7,19,9.64,0.5555555555555556,0.42857142857142855,0.6216216216216216,0.6521739130434783,0.5686274509803921,0.07526881720430108,0.14142049025769957,1,0
12,11,82,15,31,19,8,23,7.38,0.43902439024390244,0.26666666666666666,0.7741935483870968,0.41379310344827586,0.46774193548387094,0.017391304347826087,0.09043077934889839,0,1
12,3,70,24,52,15,6,20,5.390909090909091,0.37142857142857144,0.25,0.6730769230769231,0.6428571428571429,0.4788732394366197,0.010638297872340425,0.10696821515892421,0,1
12,9,77,31,24,20,5,25,4.530769230769231,0.42857142857142855,0.3225806451612903,0.875,0.5384615384615384,0.4716981132075472,0.018867924528301886,0.13812154696132597,0,1
12,25,70,24,34,26,4,29,8.74,0.5,0.5,0.8235294117647058,0.5,0.5370370370370371,0.052083333333333336,0.12100677637947724,1,0
12,4,82,21,19,32,8,23,9.441666666666666,0.5853658536585366,0.38095238095238093,0.8947368421052632,0.35294117647058826,0.5757575757575758,0.053763440860215055,0.07477567298105683,1,0
12,15,73,24,21,22,8,30,6.88,0.4931506849315068,0.3333333333333333,0.8095238095238095,0.5294117647058824,0.5686274509803921,0.011494252873563218,0.1379422265498215,0,1
12,27,84,22,25,20,10,23,9.7,0.5476190476190477,0.5454545454545454,0.88,0.34782608695652173,0.47058823529411764,0.009708737864077669,0.04878048780487805,1,0
12,14,80,20,18,22,6,24,7.49,0.475,0.55,0.7777777777777778,0.47619047619047616,0.5263157894736842,0.05555555555555555,0.12203058900097624,1,0
12,19,79,41,30,20,7,19,6.9363636363636365,0.43037974683544306,0.34146341463414637,0.6666666666666666,0.2857142857142857,0.4788732394366197,0.047244094488188976,0.08264462809917356,0,1
12,29,86,32,13,21,6,15,12.1,0.5,0.5,1.0,0.4375,0.5151515151515151,0.08771929824561403,0.08841732979664015,1,0
12,14,96,32,24,16,7,23,5.869230769230769,0.40625,0.3125,0.8333333333333334,0.4666666666666667,0.4666666666666667,0.043478260869565216,0.07970244420828905,0,1
12,8,89,30,20,25,5,15,9.877777777777776,0.449438202247191,0.3333333333333333,0.8,0.5789473684210527,0.49295774647887325,0.027522935779816515,0.04484304932735426,1,0
12,11,82,36,36,32,7,18,12.8,0.5487804878048781,0.5,0.8611111111111112,0.34782608695652173,0.5272727272727272,0.05384615384615385,0.07594587130626898,1,0
12,1,92,33,7,24,5,18,6.423076923076923,0.4782608695652174,0.36363636363636365,0.8571428571428571,0.6842105263157895,0.5074626865671642,0.038461538461538464,0.08566533409480297,1,0
12,18,90,37,5,22,7,12,5.154545454545455,0.37777777777777777,0.24324324324324326,0.8,0.4,0.44871794871794873,0.03418803418803419,0.07845934379457918,0,1
